TimeSinceStart_s,Temperature,Humidity,Latitude,Longitude,Altitude,TimeUTC,PM1_0,PM2_5,PM4_0,PM10_0,ref_Temperature,ref_Humidity,ref_PM1_0,ref_PM2_5,ref_PM4_0,ref_PM10_0,diff_Temperature,diff_Humidity,diff_PM1_0,diff_PM2_5,diff_PM4_0,diff_PM10_0
420,37.91,25.56,47.392147,8.532017,454.4,8575900.0,20.27,21.43,21.43,21.43,16.29,57.81,-9999.0,9.72,-9999.0,13.23,21.62,-32.25,-9999.0,11.71,-9999.0,8.2
425,37.5,26.27,47.392136,8.532011,449.2,8580400.0,4.21,4.45,4.45,4.45,16.29,57.81,-9999.0,9.72,-9999.0,13.23,21.21,-31.54,-9999.0,-5.27,-9999.0,-8.78
430,37.31,26.07,47.392151,8.532002,441.6,8580900.0,5.56,5.88,5.88,5.88,16.29,57.81,-9999.0,9.72,-9999.0,13.23,21.02,-31.74,-9999.0,-3.84,-9999.0,-7.35
435,37.2,26.67,47.392166,8.531981,439.0,8581400.0,5.39,5.7,5.7,5.7,16.29,57.81,-9999.0,9.72,-9999.0,13.23,20.91,-31.14,-9999.0,-4.02,-9999.0,-7.53
440,37.2,30.35,47.392197,8.53197,437.3,8581900.0,5.12,5.41,5.41,5.41,16.29,57.81,-9999.0,9.72,-9999.0,13.23,20.91,-27.46,-9999.0,-4.31,-9999.0,-7.82
445,37.89,30.31,47.392162,8.532014,439.4,8582400.0,4.7,4.97,4.97,4.97,16.29,57.81,-9999.0,9.72,-9999.0,13.23,21.6,-27.5,-9999.0,-4.75,-9999.0,-8.26
450,38.45,27.76,47.392162,8.532025,442.9,8582900.0,4.34,4.59,4.59,4.59,16.29,57.81,-9999.0,9.72,-9999.0,13.23,22.16,-30.05,-9999.0,-5.13,-9999.0,-8.64
455,39.01,26.48,47.392147,8.532032,444.3,8583400.0,3.85,4.07,4.07,4.07,16.29,57.81,-9999.0,9.72,-9999.0,13.23,22.72,-31.33,-9999.0,-5.65,-9999.0,-9.16
460,39.54,25.87,47.392139,8.53204,443.9,8583900.0,3.6,3.81,3.81,3.81,16.29,57.81,-9999.0,9.72,-9999.0,13.23,23.25,-31.94,-9999.0,-5.91,-9999.0,-9.42
465,40.05,25.46,47.392143,8.532052,442.3,8584400.0,3.73,3.94,3.94,3.94,16.29,57.81,-9999.0,9.72,-9999.0,13.23,23.76,-32.35,-9999.0,-5.78,-9999.0,-9.29
470,40.58,25.05,47.392151,8.532066,440.5,8584900.0,3.82,4.04,4.04,4.04,16.29,57.81,-9999.0,9.72,-9999.0,13.23,24.29,-32.76,-9999.0,-5.68,-9999.0,-9.19
475,40.99,24.45,47.39217,8.532111,440.3,8585400.0,3.77,3.98,3.98,3.98,16.29,57.81,-9999.0,9.72,-9999.0,13.23,24.7,-33.36,-9999.0,-5.74,-9999.0,-9.25
480,41.43,23.75,47.392174,8.53213,441.9,8585900.0,3.82,4.04,4.04,4.04,16.29,57.81,-9999.0,9.72,-9999.0,13.23,25.14,-34.06,-9999.0,-5.68,-9999.0,-9.19
485,41.82,23.16,47.392178,8.532152,442.6,8590400.0,3.7,3.91,3.91,3.91,16.29,57.81,-9999.0,9.72,-9999.0,13.23,25.53,-34.65,-9999.0,-5.81,-9999.0,-9.32
490,42.13,22.29,47.392181,8.532154,441.8,8590900.0,3.61,3.82,3.82,3.82,16.29,57.81,-9999.0,9.72,-9999.0,13.23,25.84,-35.52,-9999.0,-5.9,-9999.0,-9.41
495,42.35,22.28,47.392174,8.532152,439.9,8591400.0,3.58,3.78,3.78,3.78,16.29,57.81,-9999.0,9.72,-9999.0,13.23,26.06,-35.53,-9999.0,-5.94,-9999.0,-9.45
500,42.65,22.17,47.392189,8.532139,437.7,8591900.0,3.47,3.67,3.67,3.67,16.29,57.81,-9999.0,9.72,-9999.0,13.23,26.36,-35.64,-9999.0,-6.05,-9999.0,-9.56
505,42.94,22.05,47.392178,8.53216,435.9,8592400.0,3.27,3.46,3.46,3.46,16.29,57.81,-9999.0,9.72,-9999.0,13.23,26.65,-35.76,-9999.0,-6.26,-9999.0,-9.77
510,43.26,22.04,47.392193,8.532209,433.2,8592900.0,3.23,3.42,3.42,3.42,16.29,57.81,-9999.0,9.72,-9999.0,13.23,26.97,-35.77,-9999.0,-6.3,-9999.0,-9.81
515,43.52,21.74,47.392185,8.532198,429.2,8593400.0,3.38,3.58,3.58,3.58,16.29,57.81,-9999.0,9.72,-9999.0,13.23,27.23,-36.07,-9999.0,-6.14,-9999.0,-9.65
520,43.79,21.73,47.392189,8.532213,430.1,8593900.0,3.65,3.86,3.86,3.86,16.29,57.81,-9999.0,9.72,-9999.0,13.23,27.5,-36.08,-9999.0,-5.86,-9999.0,-9.37
525,44.08,21.15,47.392178,8.532199,432.9,8594400.0,4.0,4.23,4.23,4.23,16.29,57.81,-9999.0,9.72,-9999.0,13.23,27.79,-36.66,-9999.0,-5.49,-9999.0,-9.0
530,44.36,21.23,47.392174,8.532201,435.4,8594900.0,4.2,4.44,4.44,4.44,16.29,57.81,-9999.0,9.72,-9999.0,13.23,28.07,-36.58,-9999.0,-5.28,-9999.0,-8.79
535,44.58,20.84,47.392155,8.532201,435.9,8595400.0,4.39,4.64,4.64,4.64,16.29,57.81,-9999.0,9.72,-9999.0,13.23,28.29,-36.97,-9999.0,-5.08,-9999.0,-8.59
540,44.51,20.66,47.392139,8.532187,434.0,8595900.0,4.21,4.45,4.45,4.45,16.29,57.81,-9999.0,9.72,-9999.0,13.23,28.22,-37.15,-9999.0,-5.27,-9999.0,-8.78
545,43.94,20.68,47.392124,8.532203,433.2,9000400.0,3.99,4.22,4.22,4.22,16.29,57.81,-9999.0,9.72,-9999.0,13.23,27.65,-37.13,-9999.0,-5.5,-9999.0,-9.01
550,43.32,20.32,47.392155,8.532192,431.8,9000900.0,4.09,4.32,4.32,4.32,16.29,57.81,-9999.0,9.72,-9999.0,13.23,27.03,-37.49,-9999.0,-5.4,-9999.0,-8.91
555,42.87,20.91,47.392151,8.532173,431.0,9001400.0,4.8,5.07,5.07,5.07,16.29,57.81,-9999.0,9.72,-9999.0,13.23,26.58,-36.9,-9999.0,-4.65,-9999.0,-8.16
